,id_original,ner_parent,ner_aggregated,parent_text,aggregated
99,fjaayki,['BJP'],"['India', '70 years']",No surprises. BJP wants power at any cost. They don't mind even if country get burned.,India is burning since 70 years.
100,fjbyxks,"['RSS', 'the B Team', 'Jinnah', 'Jinnah']","['RSS', 'the B Team', 'Jinnah', 'Jinnah']",RSS is actually the B Team of Jinnah. They are proving Jinnah right.,RSS is actually the B Team of Jinnah. They are proving Jinnah right.
101,1579106180278136832,['40s'],['40'],"Nope, I often wonder what I want to do when I grow up &amp; I'm in my 40s. Always try new things.",I'm 40 and I'm still trying to figure out what I want to be when I grow up.
102,1572476107659661312,[],['The incompetent years'],What will this period of our political history be called? The muddled years,The incompetent years
103,1580438283804610562,['recent years'],['50'],"Question for people older than me: Were the left always such unutterable pieces of garbage, or have they gotten a lot worse in recent years","I'm 50, and I'd say they've always been unutterable pieces of garbage."
104,fja2kgl,['four years'],"['22', '18']","Dude, more than half of this country is finding and struggling with their relationships. You like her, ask her out. Maybe she likes you and reciprocates the same. Maybe she doesn't like you that much and it will let her know you better. Maybe you think she is different than you imagined. Your thinking and opinions change over time. I say, ask her out.. And about the age difference, it's hardly four years. It's upto both of you to decide. If you're both comfortable, Go ahead and cruise through the long term.",I'm 22 and she's 18.
105,1572516549730402306,"['Labour', 'London', 'Sadiq Khan', 'NHS', 'Wales', 'Manchester', 'Liverpool']","['Tory', 'London', 'Boris Johnson', 'England', 'Manchester', 'Liverpool']","If you want to know what life would be like under a Labour government then look at the crime in London under Sadiq Khan, Look at the NHS in Wales, Look at the police in Manchester, Look at the financial mismanagement in Liverpool Now imagine it all over the country","If you want to know what life would be like under a Tory government then look at the crime in London under Boris Johnson, Look at the NHS in England, Look at the police in Manchester, Look at the financial mismanagement in Liverpool Now imagine it all over the country"
106,fj5dxhi,['EU'],"['EU', 'UK', 'EU']",Brexit is just a bunch of rich cunts fucking over a nation so they can avoid the incoming EU tax laws,I think you mean the incoming EU tax laws that would have benefited the UK more than any other country in the EU.
107,fj742dm,"['Outsider', 'Ireland', 'about six months', 'Detroit']","['Dublin', 'Detroit', 'Dublin']",Outsider here. Curious what makes all these places shot Holes in your eyes. I’ve visited Ireland for a total of about six months and nothing really made me think shit hole. When I hear shit hole I think of Detroit and derelict steel town types around the states.,"I'm from Dublin, I've never been to Detroit. I'd say Dublin is a shithole."
108,1580558433811824640,"['Fanone', 'Donald Trump', 'January 6', 'Fanone']","['Trump', 'Senate', 'Senate']",BREAKING: Officer Fanone demands that Donald Trump be “held accountable” for the actions that led up to January 6. Who stands with Officer Fanone and agrees with him? ✋,"I do.  He should be held accountable for his actions. 
I'm sure you're referring to his actions as a police officer. 
I'm not sure what actions you're referring to as far as Trump is concerned. 
I'm sure you're not referring to the actions of the people who broke into the Capitol. 
I'm sure you're not referring to the actions of the people who beat up police officers. 
I'm sure you're not referring to the actions of the people who stole police equipment. 
I'm sure you're not referring to the actions of the people who broke into the Speaker's office and stole her property. 
I'm sure you're not referring to the actions of the people who broke into the Senate office and stole property. 
I'm sure you're not referring to the actions of the people who broke into the office of the Secretary of the Senate and stole property. 
I'm sure you're not referring to the actions of the people who broke into the office of the Sergeant at Arms and stole property. 
I'm sure you're not referring to"
109,1579873425610670080,['Jesus'],"['Jesus', 'yahoo']","In the name of Jesus, new order of exploits shall begin to happen in your life!","In the name of Jesus, I want to become a yahoo boy"
110,1537824704379211782,[],['the last 12 months'],"Nice one, a difficult year","Yeah, I'm sure he's really struggling with the 100 million he's been paid over the last 12 months."
111,1538506354427629569,"['Irish', 'British']","['British', 'Irish']","It’s all very “they just don’t realize they are Irish not British, and any day soon they will wake up and realize what a mistake they made”","I think you mean ""they just don't realize they are British not Irish, and any day soon they will wake up and realize what a mistake they made"""
112,fjcr18u,"['India', '40s-60s']","['England', 'Australia']",Wasn't India the top team in the 40s-60s,"Yeah, when England and Australia were still amateurs."
113,fj78tne,"['Muslims', 'many years', 'Hindus', 'Pakistan', 'Indian Muslims', 'Indians']",['Muslim'],"Muslims have got the benefit of appeasement politics for many years. It is one of the major reasons why Hindus are angry towards the community. With regards to the Population and go to Pakistan points, they are absolute nonsense. Indian Muslims are Indians and will remain so.",I am a Muslim and I am not angry towards any community. I am angry towards the people who are spreading hatred.
114,fj5dv6c,"['Crocs', 'Crocs']",['Crocs'],I used to have plantar fasciitis - constant near-crippling pain in my feet. My podiatrist said to never go barefoot while standing other than in the shower. He specifically said to wear Crocs in the house. The pain went away pretty quickly and hasn't come back. So Crocs in the house it is.,I'm glad you're not barefoot.  I'm not sure what you're doing with your Crocs though.
115,fj67egv,['today'],"[""St Patrick's""]",Is it st Davids day today? just wondering.,"No, it's St Patrick's day."
116,fj7yl3q,"['UHT', 'every 2 weeks']",['UHT'],"I buy UHT milk despite what people say about it, it tastes creamier to me and I probably use 1 litre every 2 weeks. I live on coke zero so other than the rare times I have cereal or a coffee I drink none.","I'm a milk drinker, I've never tried UHT. I'm not sure I'd want to."
117,fj9dwip,"['Ambo - Ambulance', 'Divvy/ Divvy van - Police', 'van Arvo - Afternoon', ""Maccas - McDonald's"", 'Mozzie - Mosquito Sanger - Sandwich Snag - Sausage Troppo - Crazy']",['Australian'],Ambo - Ambulance Divvy/ Divvy van - Police van Arvo - Afternoon Maccas - McDonald's Bonzer - Awesome Dunny - Toilet Brekki/ breaky - Breakfast Goon - Cask wine Mozzie - Mosquito Sanger - Sandwich Snag - Sausage Troppo - Crazy Don't piss in my pocket and tell me it's raining.,Thanks for the lesson in Australian slang.
118,1538427376794800128,[],['last week'],Just arrived in T 1 Dublin Airport last night. Gosh it is an absolute disgrace. Toilets manky. Toilet paper all over the place. The arrivals hall full of litter. Luggage hanging around all over the place. Absolutely so management evident at all. I’m thinking about our tourists…,I was there last week. It's a disgrace.
119,1580526010671693824,"['Navy', 'American']","['Navy', 'American']","(2/4)…the Navy has been involved in more than ten major conflicts and countless smaller battles to ensure security, democracy and prosperity for the American people and for the international community.","I thought you were going to say “the Navy has been involved in more than ten major conflicts and countless smaller battles to ensure security, democracy and prosperity for the American people and for the international community”"
120,1579736732781924358,"['Sengipatti', 'Thanjavur District', 'TN', 'Delta']","['sengipatti', 'thanjavur district', 'sengipatti', 'thanjavur district', 'delta']","#SportsCity #Sengipatti_Thanjavur ?If Our Govt Will Announce Sports City in Sengipatti, Thanjavur District. ?It Will be a Big Boost 2 Central Region Dt's of TN. ?Then the Long Neglected Delta Districts get Some Attention. Hope Infra will develop afterwards here in Delta.","Sports city in sengipatti, thanjavur district. 
If our govt announce sports city in sengipatti, thanjavur district. 
It will be a big boost 2 central region dt's of tn. 
Then the long neglected delta districts get some attention. 
Hope infra will develop afterwards here in delta."
121,1578980956131962881,['Joel'],['27'],I'm older than you Joel and no!!! Life is always changing and sometimes the best plan is no plan...see where life takes you.,"I’m 27, you’re not older than me."
122,fj6euhi,['Shiroes'],['Shiroes'],"They are not heroes, they are Shiroes..(Sikh heroes).",Shiroes with no sense of humour.
123,fj58flv,"['the year', 'last September', 'twenty years ago']",['16'],"Lowest point was probably the year after high school. My parents had divorced and my mom moved out first after keeping me on lockdown because she found out I was dating a girl. Then my dad moved out to live with my now step mom. I went from having no freedom at all to having absolute freedom, and I did not handle it well. I did a lot of drugs and drank a lot of alcohol. Most of the time, the only consumables in the house wee ramen and booze. I didn’t even care about taking care of myself because I was drunk or high all the time. I think the highest point is now. I bought a house last September, got out of an unhappy marriage, my teenager is absolutely thriving, I’ve got a decent paying job, published two novels, and I got back together with that same girl I dated twenty years ago. Things are going really well now.","I'm glad you're doing better now.  I'm in a similar situation, except I'm 16 and my parents are divorced.  I'm glad you're doing better now, and I hope I can be in a similar situation as you when I'm older."
124,fjd8yhi,['Mayo'],['Mayo'],Why does Mayo extend into the ocean but everywhere else stops at the coast,Mayo is the ocean.
125,fj51nqt,['roth'],['Roth'],Open a roth 401k,I'm broke as fuck. I can't afford to open a Roth 401k.
126,fj9nj5x,['Irish'],['Irish'],It’s Official! I’m Irish!,Paper Irish
127,fjcnqgy,"['China', '14 days']",['Australia'],how can they just rule out the possibility that the guy got it from China just because he spent 14 days overseas when there are cases where the incubation period is much longer than that,Because the virus was already in Australia before the first case was announced.
128,fj6b4a8,['20 odd years'],"['UK', 'the day']","What did this setup cost you. Would love to go solar but all of the solar panel ""grants"" sound a lot like scams. Not in the conventional sense but that it's not actually the person with the panels who ends up saving anything for 20 odd years","I'm in the UK, so I got a grant of £5000 from the government.
I've got 12 panels, so that's about £416 per panel.
I'm also on a time of use tariff, so I get paid 5.5p per kWh for the electricity I export to the grid, and pay 4.5p per kWh for the electricity I import from the grid.
So, I'm making about £100 per month, and I've got a 3.5kWh battery, so I can use that electricity at night when it's cheaper, and export it back to the grid during the day when it's more expensive.
I've got a 10kW inverter, so I can run my electric car off the panels, and charge it for free.
I've got a 3kW immersion heater, so I can heat my water for free.
I've got a 3kW heat pump, so I can heat my house for free.
I've got a 3kW air conditioner, so I can cool my house for free"
129,fj7xuh9,['the 1950s'],['the 1960s'],Do you live in the 1950s,"No, I was born in the 1960s"
130,fj7290e,[],['all day'],"Saw a mosquito on the wall and for some stupid reason I thought a let’s punch him into bits, so I make a fist and thrust it into the wall and the mosquito flees injured and my hand is killing me. It literally hurts like a fracture",I'm sorry for your hand but that's the funniest thing I've read all day.
131,fjanam4,[],['KFC'],Can they name the fucking company so the employees know to look for any sign or symptoms.,KFC
